advertising_id,event_date
fa05e2af-e638-4692-8371-4d4d8498f1c7,2023-06-14
afd217d8-2268-4496-8577-88f36097cc8a,2023-07-16
fe5435ab-f243-424c-971a-878214d11d1d,2023-07-16
0c21cefc-3d21-4549-81fa-5b203146c6e3,2023-05-31
a42f8be6-a07f-4248-93af-d32f4ed65ce3,2023-05-31
e22272a9-840c-44cc-9642-c593ed83e09d,2023-05-31
01416003-437f-49cb-9bc0-f4ec851cbb9b,2023-06-03
179c7da0-314d-6014-d2e4-67a797f184ee,2023-06-03
404ceb00-e299-47d0-8564-89ec63d42a9c,2023-05-31
99692f9c-f41d-44d0-8c68-aa63b6d2bc5f,2023-06-03
fd8fefc7-d631-4b29-a9e6-8f3ff8d2696f,2023-06-03
81285e02-8fc3-40c2-b006-5a3cbf1e718f,2023-06-03
9f72ef9e-5eac-411e-831b-4803cbb0c6da,2023-06-03
027efc6c-22f0-4375-afcf-b021b650c1db,2023-05-31
388d36ab-b98d-459a-a9c2-3bc7462650b0,2023-06-19
6bf886c5-c0d2-44d9-a005-86cffb9446ca,2023-06-17
44ca41cc-f418-4e1b-851e-5ae51daa4083,2023-06-17
1736d9e4-721c-4e47-a6e7-47e03a04768b,2023-06-20
5ca27545-562b-4821-aa44-dbf9fd87a3c3,2023-06-20
a9fc2dc6-fea7-45ae-b4f6-0433f4265140,2023-06-14
5672eb60-ac56-4775-8299-b990dfe41b6a,2023-06-13
7e8be076-b6e9-4af2-966e-96495681726e,2023-05-31
7bd60460-d13a-4ad1-ae4e-292e0dfa898a,2023-05-31
156eb647-538d-4fb8-88da-b29132e123d7,2023-05-31
231f4c2a-13f9-46f3-aeac-b9b441bb1e20,2023-07-13
31df11a7-9b5b-4dd1-aaa3-3e7cfc76df0b,2023-07-13
28ce79a2-a0f7-4423-a2d2-4b90feeea069,2023-07-13
d6f62339-e0a0-4e60-a85a-1e9ed31d5304,2023-07-13
e95fb271-aacd-4eda-a809-8fc7dbc59e51,2023-07-12
2549b320-4242-4e3d-aeae-3c8a964bfb70,2023-07-13
d832361b-e03f-49dc-a729-dfff075408e9,2023-07-13
7511a5fa-876a-415c-9cd8-cb5a5ace1ca0,2023-07-10
b6ed84fe-90f4-4a7a-94a0-d56b05d17577,2023-07-14
7c96009e-ec44-4c82-878b-7230f42398c7,2023-07-14
a563c522-43f4-4fd8-bd77-b43c7437c956,2023-07-14
ac3b8cb5-7725-4ea3-a101-f3105f941386,2023-07-14
fcca7be3-a287-4280-bca4-e2e16070019f,2023-07-13
07d1178a-7cb1-445a-ae7e-2dadd4dbcd5f,2023-06-21
a5097554-e7ef-4219-b677-31aebb03b484,2023-06-19
24e5140d-6996-439b-ad8d-6da2bd0f481c,2023-06-18
c979ce48-115e-4b16-95b6-710036edde79,2023-06-04
43a57eaa-f5a1-4692-83d9-16e326405020,2023-06-04
945e79b4-7064-4e96-96aa-a71270e016dd,2023-06-14
c1bdc038-a5b6-4e77-a731-5fbba05ec2c4,2023-06-21
0262a12f-e4f4-4115-a864-340bbd7e9f3f,2023-06-17
5c50c0db-83b1-4c84-adb0-aeb93e4258b2,2023-07-10
51b7e549-34e3-4f94-8ec8-b6f0eda88284,2023-07-10
d69df6af-18a3-468f-8af6-8694495114d5,2023-07-10
9a6ecc41-a9fe-41f0-a06a-bf52d2b48df5,2023-07-10
fdfcfada-1336-4477-86e8-de4d0cf9766f,2023-07-10
97ce57d1-8bcb-44ac-9c14-69b747e41297,2023-07-10
21e387ba-d521-45b6-8a89-4b54ad2d85ee,2023-07-14
9080caa3-5eb1-41f7-8167-0edb61f7ef94,2023-07-14
803badc6-2b36-434c-9a2a-d630c66cacbc,2023-07-15
247092de-7e95-4717-9650-068700200259,2023-07-15
5a380bc3-9b05-4c91-a471-bbbca7c86ba2,2023-07-15
24a44735-35d0-4f55-afe7-58a40e6405a3,2023-07-15
f8e2ad04-2f7a-4c8c-8256-5cac4d9bb3fb,2023-07-15
88391af4-49da-4474-b584-50f38a571ccb,2023-07-12
3b191c1f-3101-40de-8a10-3b8e5a24cedf,2023-07-12
f85cf6bf-099d-42b2-ab5b-9d6a95d219a0,2023-06-22
8f259590-eef3-4b3f-b700-38f6029de3d6,2023-06-24
bdf84a30-0975-4797-85ba-c7a32ff81712,2023-06-24
c24dd9d3-ad64-447a-9862-39fad3acd496,2023-06-23
25c7d67e-fc1e-4095-926d-cb656bfbc47a,2023-07-10
627dbc8a-c165-4718-9fc5-9fabac4dc348,2023-07-11
d1cab62f-a77a-4272-a8bf-f4712684155e,2023-06-16
e6dba2cd-bab2-4d3a-9f28-ddda13570cf2,2023-06-16
11a9fc0d-1019-4f32-95ac-f9283ef77741,2023-06-15
dd791655-869a-42b9-bf6f-e776e546fbe8,2023-06-18
5f8717d8-9f9d-4f93-8f43-24eba84f508a,2023-06-18
7ceb7046-ca85-4ce3-a0dc-bb10ce3f9620,2023-06-19
3fc248bf-7e29-4602-8ba0-56f665c529d1,2023-06-19
1f82c6c8-9edf-4862-b894-bf6002db9709,2023-06-19
fcc60129-29a1-4aca-b168-da1410da82fc,2023-06-17
51b17418-0ccc-4b6c-b98a-79456bc6f7d0,2023-06-17
e1c1e1ee-47ba-4b57-8109-91b02aa21cae,2023-06-13
